Country Name,Country Code,Series Name,Series Code,2015
Bolivia,BOL,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Bolivia,BOL,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Bolivia,BOL,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Bolivia,BOL,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
Bosnia and Herzegovina,BIH,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
Bosnia and Herzegovina,BIH,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
Bosnia and Herzegovina,BIH,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
Bosnia and Herzegovina,BIH,PISA: Mean performance on the reading scale,LO.PISA.REA,..
Bosnia and Herzegovina,BIH,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
Bosnia and Herzegovina,BIH,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Bosnia and Herzegovina,BIH,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Bosnia and Herzegovina,BIH,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Bosnia and Herzegovina,BIH,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
Botswana,BWA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
Botswana,BWA,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
Botswana,BWA,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
Botswana,BWA,PISA: Mean performance on the reading scale,LO.PISA.REA,..
Botswana,BWA,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
Botswana,BWA,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Botswana,BWA,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Botswana,BWA,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Botswana,BWA,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
Brazil,BRA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,377.0695
Brazil,BRA,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,369.5493074
Brazil,BRA,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,385.0405905
Brazil,BRA,PISA: Mean performance on the reading scale,LO.PISA.REA,407.3486
Brazil,BRA,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,418.5616822
Brazil,BRA,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,395.4632549
Brazil,BRA,PISA: Mean performance on the science scale,LO.PISA.SCI,400.6821
Brazil,BRA,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,398.6999991
Brazil,BRA,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,402.7830375
Bulgaria,BGR,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,441.1899
Bulgaria,BGR,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,442.163116
Bulgaria,BGR,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,440.3189365
Bulgaria,BGR,PISA: Mean performance on the reading scale,LO.PISA.REA,431.7175
Bulgaria,BGR,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,456.5985615
Bulgaria,BGR,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,409.4497796
Bulgaria,BGR,PISA: Mean performance on the science scale,LO.PISA.SCI,445.772
Bulgaria,BGR,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,453.9010959
Bulgaria,BGR,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,438.4966288
Burkina Faso,BFA,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
Burkina Faso,BFA,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
Burkina Faso,BFA,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
Burkina Faso,BFA,PISA: Mean performance on the reading scale,LO.PISA.REA,..
Burkina Faso,BFA,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
Burkina Faso,BFA,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Burkina Faso,BFA,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Burkina Faso,BFA,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Burkina Faso,BFA,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
Burundi,BDI,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
Burundi,BDI,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
Burundi,BDI,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
Burundi,BDI,PISA: Mean performance on the reading scale,LO.PISA.REA,..
Burundi,BDI,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
Burundi,BDI,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Burundi,BDI,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Burundi,BDI,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Burundi,BDI,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
Cameroon,CMR,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
Cameroon,CMR,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
Cameroon,CMR,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
Cameroon,CMR,PISA: Mean performance on the reading scale,LO.PISA.REA,..
Cameroon,CMR,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
Cameroon,CMR,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Cameroon,CMR,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Cameroon,CMR,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Cameroon,CMR,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
Canada,CAN,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,515.6474
Canada,CAN,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,511.1417255
Canada,CAN,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,520.1661252
Canada,CAN,PISA: Mean performance on the reading scale,LO.PISA.REA,526.6678
Canada,CAN,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,539.7623857
Canada,CAN,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,513.535458
Canada,CAN,PISA: Mean performance on the science scale,LO.PISA.SCI,527.7047
Canada,CAN,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,527.1561846
Canada,CAN,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,528.2547656
Chad,TCD,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
Chad,TCD,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
Chad,TCD,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
Chad,TCD,PISA: Mean performance on the reading scale,LO.PISA.REA,..
Chad,TCD,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
Chad,TCD,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Chad,TCD,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Chad,TCD,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Chad,TCD,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
Chile,CHL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,422.6714
Chile,CHL,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,413.4489815
Chile,CHL,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,431.7980868
Chile,CHL,PISA: Mean performance on the reading scale,LO.PISA.REA,458.5709
Chile,CHL,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,464.561642
Chile,CHL,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,452.6422417
Chile,CHL,PISA: Mean performance on the science scale,LO.PISA.SCI,446.9561
Chile,CHL,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,439.6174043
Chile,CHL,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,454.2186172
Colombia,COL,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,389.6438
Colombia,COL,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,384.4883363
Colombia,COL,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,395.3911205
Colombia,COL,PISA: Mean performance on the reading scale,LO.PISA.REA,424.9052
Colombia,COL,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,432.2819264
Colombia,COL,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,416.6816261
Colombia,COL,PISA: Mean performance on the science scale,LO.PISA.SCI,415.7288
Colombia,COL,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,411.0315987
Colombia,COL,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,420.9651118
Comoros,COM,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
Comoros,COM,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
Comoros,COM,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
Comoros,COM,PISA: Mean performance on the reading scale,LO.PISA.REA,..
Comoros,COM,PISA: Mean performance on the reading scale. Female,LO.PISA.REA.FE,..
Comoros,COM,PISA: Mean performance on the reading scale. Male,LO.PISA.REA.MA,..
Comoros,COM,PISA: Mean performance on the science scale,LO.PISA.SCI,..
Comoros,COM,PISA: Mean performance on the science scale. Female,LO.PISA.SCI.FE,..
Comoros,COM,PISA: Mean performance on the science scale. Male,LO.PISA.SCI.MA,..
"Congo, Rep.",COG,PISA: Mean performance on the mathematics scale,LO.PISA.MAT,..
"Congo, Rep.",COG,PISA: Mean performance on the mathematics scale. Female,LO.PISA.MAT.FE,..
"Congo, Rep.",COG,PISA: Mean performance on the mathematics scale. Male,LO.PISA.MAT.MA,..
"Congo, Rep.",COG,PISA: Mean performance on the reading scale,LO.PISA.REA,..
